iter	Logloss
0	0.1309094547
1	0.03036510086
2	0.009354560628
3	0.004031342484
4	0.002435060073
5	0.002116470247
6	0.0018539232
7	0.001694412832
8	0.001571361919
9	0.001472965971
10	0.001373483028
11	0.001315167871
12	0.001278419928
13	0.001225793689
14	0.001191093122
15	0.001173796614
16	0.001153874382
17	0.001131437747
18	0.001112541426
19	0.001095298676
20	0.001077596789
21	0.001067972343
22	0.001040656306
23	0.00102714702
24	0.001016522713
25	0.001006054781
26	0.0009996523074
27	0.000992200035
28	0.00097749437
29	0.0009688085967
30	0.0009543825962
31	0.0009468603583
32	0.0009421460458
33	0.0009366439198
34	0.0009328758872
35	0.0009315625242
36	0.0009260155211
37	0.0009192649719
38	0.0009171615013
39	0.0009109209047
40	0.000909103799
41	0.000908554136
42	0.000905156647
43	0.0009048326468
44	0.0009020922959
45	0.0008947596937
46	0.0008913450883
47	0.0008876350189
48	0.0008828224706
49	0.0008817065603
50	0.0008781931364
51	0.0008717688929
52	0.000869892654
53	0.0008645603493
54	0.0008630651791
55	0.000861818966
56	0.0008595465242
57	0.0008592104956
58	0.0008560145919
59	0.0008510615165
60	0.000850719473
61	0.0008503078392
62	0.000850148239
63	0.0008451676289
64	0.000838721794
65	0.0008351539444
66	0.000829795826
67	0.0008294579377
68	0.0008274405671
69	0.000825069957
70	0.0008228924072
71	0.0008204787028
72	0.000819207157
73	0.0008158917819
74	0.0008134593909
75	0.0008126167622
76	0.0008123627397
77	0.0008118209239
78	0.0008112640451
79	0.0008105315386
80	0.0008095299898
81	0.0008090913957
82	0.000808927444
83	0.0008086239478
84	0.0008066524884
85	0.0008059158659
86	0.0008050253349
87	0.0008045521147
88	0.0008016044626
89	0.0008012890558
90	0.0007996032092
91	0.0007988180503
92	0.0007977570567
93	0.0007960595711
94	0.0007916431928
95	0.0007888348965
96	0.0007884249137
97	0.0007882104217
98	0.0007860467869
99	0.0007852940189
100	0.0007844215014
101	0.0007839988246
102	0.0007812219091
103	0.0007787471611
104	0.0007751642825
105	0.0007749897173
106	0.0007725793339
107	0.0007714188244
